title,icon,time,compatible,evaluate,discount,original_price,current_price,detaillink
NBA 2K25,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2878980/capsule_sm_120.jpg?t=1740153913,2024 年 10 月 29 日,"[""win""]",mid,30,99.00,29.70,https://store.steampowered.com/app/2878980/NBA_2K25/?snr=1_7_7_2300_150_1
霍格沃茨之遗,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/990080/capsule_sm_120.jpg?t=1738007476,2023 年 2 月 11 日,"[""win""]",good,25,79.90,19.97,https://store.steampowered.com/app/990080/_/?snr=1_7_7_2300_150_1
苏丹的游戏,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3117820/26f7a185b18df7364d09f1bffc8be2bd10e3f2ee/capsule_sm_120_schinese.jpg?t=1743420251,2025 年 3 月 31 日,"[""win"", ""mac""]",good,90,22.00,19.80,https://store.steampowered.com/app/3117820/_/?snr=1_7_7_2300_150_1
原子之心,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/668580/capsule_sm_120.jpg?t=1742305587,2023 年 2 月 21 日,"[""win""]",good,33,69.90,23.07,https://store.steampowered.com/app/668580/_/?snr=1_7_7_2300_150_1
AI LIMIT 无限机兵,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2407270/capsule_sm_120.jpg?t=1743290781,2025 年 3 月 27 日,"[""win""]",good,90,39.00,35.10,https://store.steampowered.com/app/2407270/AI_LIMIT/?snr=1_7_7_2300_150_1
Call of Duty®: Black Ops 6,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/2933620/capsule_sm_120_schinese.jpg?t=1740790590,2024 年 10 月 25 日,"[""win""]",mid,70,98.00,68.60,https://store.steampowered.com/app/2933620/Call_of_Duty_Black_Ops_6/?snr=1_7_7_2300_150_1
RimWorld,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/294100/capsule_sm_120.jpg?t=1734154189,2018 年 10 月 17 日,"[""win"", ""mac"", ""linux""]",good,80,29.00,23.20,https://store.steampowered.com/app/294100/RimWorld/?snr=1_7_7_2300_150_1
雨中冒险 2,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/632360/capsule_sm_120_schinese.jpg?t=1741113466,2020 年 8 月 11 日,"[""win""]",good,33,22.00,7.26,https://store.steampowered.com/app/632360/_2/?snr=1_7_7_2300_150_1
Nordhold,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/3028310/317d0804526e3b14efb67ea33d6e2e76a0b3ce86/capsule_sm_120.jpg?t=1743433441,2025 年 3 月 26 日,"[""win"", ""mac"", ""linux""]",good,80,18.50,14.80,https://store.steampowered.com/app/3028310/Nordhold/?snr=1_7_7_2300_150_1
No Man's Sky 无人深空,https://shared.fastly.steamstatic.com/store_item_assets/steam/apps/275850/383e42d6c89fae0016a9f970cea85c3dd139e1c3/capsule_sm_120_alt_assets_15.jpg?t=1742997746,2016 年 8 月 13 日,"[""win"", ""mac""]",good,40,49.00,19.60,https://store.steampowered.com/app/275850/No_Mans_Sky/?snr=1_7_7_2300_150_1
